x,y,radius
784,196,20.5
596,163,11.0
113,460,16.5
597,700,19.0
72,714,18.0
225,196,23.5
610,605,29.0
434,299,21.0
404,67,23.0
372,458,24.0
613,387,20.5
589,60,15.0
674,452,16.0
926,942,24.5
243,253,24.0
132,495,14.5
192,397,29.0
655,319,20.5
217,565,16.5
954,766,16.5
398,912,16.5
908,101,16.0
520,943,19.0
392,278,16.5
583,947,19.5
540,157,23.5
175,31,16.0
23,804,18.0
703,778,19.5
91,364,20.5
895,833,24.0
336,78,17.5
663,661,14.5
283,558,19.0
138,702,25.5
712,247,21.5
494,521,22.0
213,879,20.5
320,508,16.0
157,599,25.0
96,299,22.5
864,619,21.5
628,858,17.0
866,332,22.0
116,232,8.0
23,359,23.5
27,510,20.5
485,684,21.0
343,926,19.0
168,968,29.5
604,502,24.0
629,674,18.0
259,660,33.0
790,471,21.5
105,822,18.5
229,704,16.0
189,682,23.0
517,828,14.0
347,128,19.0
539,687,21.0
651,800,26.0
515,270,21.0
107,882,18.0
872,197,13.5
355,716,20.0
846,407,14.0
634,104,25.0
773,662,20.0
34,121,25.5
957,291,17.0
647,232,14.5
732,710,24.0
566,107,16.5
487,891,17.5
293,52,29.5
60,976,18.5
935,897,20.5
733,927,28.0
431,947,20.5
389,837,20.0
485,378,22.5
919,688,19.0
967,157,23.5
304,330,23.0
687,692,23.5
36,619,32.0
786,877,16.0
441,664,21.5
56,62,27.5
334,812,24.0
224,618,16.0
833,202,12.5
539,632,17.0
701,68,29.5
280,441,22.0
889,445,31.5
656,285,12.0
437,722,16.5
261,363,27.0
133,347,18.0
846,698,12.5
41,749,25.5
474,187,22.0
911,500,25.0
650,179,24.5
795,804,25.0
388,952,9.5
343,649,20.0
829,44,22.0
270,496,19.5
691,625,13.5
49,419,11.5
291,191,21.5
566,573,18.0
414,374,11.5
577,855,16.5
326,881,17.5
833,360,19.5
743,781,18.0
820,849,24.0
100,968,18.5
589,354,15.0
95,768,15.0
335,436,15.0
134,642,22.0
97,527,17.5
955,19,8.0
554,328,15.5
952,522,17.5
227,301,18.0
879,69,27.0
943,72,16.5
178,643,13.0
359,579,22.0
455,52,22.0
948,826,23.0
533,740,18.0
599,245,31.0
498,477,18.5
740,613,28.0
614,967,13.5
440,883,25.0
545,452,18.5
398,619,9.0
460,828,19.5
970,492,10.0
462,580,25.5
191,350,15.5
860,514,18.0
60,183,21.5
352,47,17.0
53,790,15.0
681,511,17.0
381,20,18.0
794,739,18.5
907,246,19.5
449,531,17.0
828,104,18.5
434,145,24.0
498,335,15.0
248,118,20.5
795,70,17.0
127,401,20.0
218,945,23.5
150,82,22.0
105,154,21.5
818,947,19.0
703,880,24.5
307,740,14.5
396,530,22.0
135,918,24.5
175,868,13.5
532,880,16.5
163,221,29.0
752,862,19.0
413,758,25.5
348,238,20.5
42,853,25.0
603,426,14.5
897,134,15.5
791,22,18.5
845,901,25.0
454,236,21.0
53,319,21.5
56,473,21.5
584,300,15.5
443,405,23.0
753,120,21.5
51,236,26.0
208,505,20.5
229,55,25.5
172,830,16.0
341,758,23.0
352,359,26.0
829,263,28.5
788,536,25.5
921,786,20.0
108,60,24.5
197,769,17.5
886,567,25.0
674,564,9.0
722,520,24.5
249,912,21.0
614,744,16.0
865,942,20.5
734,173,19.0
809,139,14.5
942,348,22.5
745,445,28.0
474,951,18.0
165,455,17.5
85,577,25.0
715,652,15.5
841,765,25.5
954,215,24.5
184,125,26.0
594,776,13.5
506,68,29.0
148,158,21.0
952,109,19.0
651,977,21.5
982,746,11.0
542,27,21.5
559,386,27.5
252,763,30.0
723,838,18.0
686,408,22.5
799,597,30.0
313,276,27.5
805,329,20.0
350,962,14.0
816,661,13.5
152,533,21.0
142,850,20.0
381,398,21.0
652,924,20.5
29,940,18.0
975,955,16.5
654,754,18.5
769,240,22.5
385,215,17.0
177,283,20.5
642,542,27.5
369,879,22.0
36,556,25.0
126,748,20.5
342,188,22.5
884,727,26.0
829,472,17.0
600,897,25.5
962,411,18.5
527,781,21.0
972,667,25.5
714,288,19.5
959,599,20.5
405,114,15.0
282,824,27.0
476,629,18.0
435,459,19.5
67,675,17.0
484,736,22.0
880,667,21.0
749,377,22.0
542,215,18.0
412,801,15.5
298,912,21.0
586,654,20.5
34,275,14.0
25,697,14.5
557,501,13.5
165,314,11.5
842,970,12.0
25,669,13.5
86,433,21.5
638,45,31.0
81,643,17.5
750,29,15.0
914,628,28.0
799,697,21.5
982,249,15.5
33,902,17.0
926,178,17.0
796,417,21.5
275,606,22.0
486,131,19.0
493,305,14.0
249,156,17.5
276,968,22.0
422,496,14.0
746,322,26.5
873,163,17.0
698,125,26.0
207,449,21.5
903,874,16.5
516,416,19.5
520,580,28.0
392,679,26.5
911,388,21.0
128,790,17.5
299,140,26.5
499,859,13.5
103,197,21.5
693,347,26.5
663,884,14.5
221,819,34.0
905,292,25.5
591,462,17.5
94,253,19.5
574,733,21.0
444,348,26.5
926,42,16.5
87,918,18.5
289,704,17.5
82,108,23.5
867,118,18.0
636,450,22.0
302,377,16.0
973,460,17.0
428,196,22.5
571,811,25.0
481,783,25.0
960,863,11.5
383,319,22.0
947,710,16.0
603,133,17.0
383,160,21.0
771,970,29.0
309,633,16.5
778,910,13.5
414,592,20.5
265,872,18.0
708,475,15.5
702,972,26.0
95,491,18.5
312,591,16.0
41,17,17.5
249,529,15.5
932,553,18.0
694,205,24.0
413,253,15.0
880,25,17.0
320,956,13.5
976,376,18.5
891,977,22.5
708,572,24.0
410,431,18.0
322,555,18.5
838,552,25.0
974,45,23.5
478,442,19.5
665,593,17.0
496,227,21.5
581,22,16.5
976,556,23.5
572,534,15.0
334,401,15.0
218,337,8.0
456,99,23.5
578,195,22.5
134,278,17.0
244,417,21.0
775,160,14.0
778,290,18.5
160,769,18.5
649,366,20.0
180,730,23.0
800,900,9.0
314,469,21.0
359,502,21.0
759,77,16.5
132,25,17.0
26,163,13.0
22,441,21.5
549,975,24.0
378,795,19.0
639,641,11.5
553,915,24.0
855,811,21.5
644,713,23.0
978,910,19.5
978,323,17.5
611,324,20.5
836,160,17.5
184,914,22.5
904,10,9.5
688,19,19.5
817,502,15.0
79,17,17.0
669,847,22.5
535,528,16.5
266,295,19.0
734,208,14.0
775,350,13.5
188,173,20.0
300,772,17.5
421,21,21.0
244,474,14.0
468,283,16.5
529,307,17.0
757,745,18.5
938,463,18.0
102,667,9.0
130,120,20.5
944,256,15.5
455,982,13.5
696,737,20.5
184,570,13.5
486,23,20.0
866,231,20.0
287,234,17.5
751,559,17.0
384,981,16.5
945,982,17.0
873,373,19.5
523,116,20.5
456,491,18.0
793,109,14.0
68,394,15.5
142,431,13.5
251,17,15.5
925,747,13.0
20,201,20.0
319,682,19.5
500,979,20.0
979,790,18.0
647,492,20.0
128,565,18.5
192,79,18.0
418,633,13.5
555,72,19.0
869,865,13.5
895,910,20.0
17,399,13.5
560,277,15.0
373,619,16.0
167,497,11.5
884,777,18.0
332,19,16.0
816,181,11.5
763,834,11.0
374,99,18.5
509,652,19.0
324,847,11.5
792,378,17.5
22,980,19.0
208,647,16.5
645,409,17.5
203,233,9.5
760,498,18.5
398,353,14.5
358,285,18.0
528,349,17.0
85,856,16.0
211,19,13.5
670,257,19.0
828,435,14.0
614,825,18.0
829,722,16.0
200,596,16.5
282,101,15.5
903,207,19.0
817,984,15.0
599,558,16.0
67,819,17.0
845,655,16.0
112,610,16.5
63,517,14.5
659,140,14.0
177,797,11.5
693,813,14.5
398,487,11.0
334,610,13.0
195,316,16.5
626,289,17.5
978,85,9.5
238,981,15.5
17,301,17.0
424,845,15.0
571,681,8.0
984,717,15.0
342,316,15.5
835,309,15.5
688,921,14.0
514,190,18.0
683,281,7.0
70,889,12.0
237,590,14.5
191,539,17.5
543,846,17.0
444,793,11.5
860,483,8.0
304,411,16.0
903,340,14.5
629,947,11.5
16,254,11.0
759,807,5.5
930,139,17.5
133,312,16.0
357,541,15.5
528,495,16.0
155,372,14.0
215,136,6.5
311,93,11.5
16,48,14.0
597,90,14.0
660,626,14.0
426,557,16.5
988,429,10.5
618,205,13.0
510,710,14.0
318,218,15.5
425,983,15.5
928,417,12.0
567,613,14.0
861,294,14.5
746,278,14.0
441,616,15.0
393,565,10.0
697,165,14.0
396,723,13.0
456,919,13.5
565,770,14.5
982,846,16.0
