x,y,radius
387,102,17.5
295,91,19.0
65,231,19.0
296,346,18.5
50,349,25.0
117,103,20.0
304,301,19.5
218,152,17.5
204,42,21.0
189,230,25.0
303,196,23.5
292,40,19.0
334,226,17.0
458,466,17.5
200,105,22.0
405,227,22.5
430,294,21.0
57,108,16.5
461,407,21.0
143,402,17.5
145,155,17.5
55,472,22.0
346,382,21.5
54,184,20.0
190,327,19.5
356,313,18.0
354,125,15.0
247,260,19.5
111,433,18.5
433,136,24.5
122,212,23.5
268,392,18.5
184,435,22.0
398,418,16.5
93,265,16.5
344,186,17.0
143,467,21.5
131,352,24.5
236,472,19.5
105,37,19.0
449,203,24.0
449,84,21.5
472,257,19.0
23,65,19.0
247,101,18.5
285,246,19.0
426,364,19.5
276,451,19.5
139,300,24.0
352,466,23.0
349,36,17.5
48,23,11.5
60,61,18.0
31,289,19.5
449,38,21.0
468,338,25.5
296,146,23.5
193,392,20.5
241,214,24.5
307,420,15.0
398,178,19.0
251,339,14.0
88,192,14.5
242,303,22.0
32,420,18.0
72,431,17.0
350,266,20.0
394,325,20.5
400,460,20.5
386,24,14.0
186,287,17.5
103,156,17.5
36,141,22.5
178,181,20.0
237,419,16.5
150,29,21.5
94,385,19.5
250,56,25.0
334,71,20.5
217,360,19.5
88,306,23.0
409,62,22.0
382,144,15.5
256,161,18.5
26,233,17.5
163,78,16.5
478,168,15.5
146,252,23.0
388,285,18.0
477,118,22.0
194,477,21.0
370,64,16.0
481,294,18.5
62,400,13.5
154,119,19.5
359,423,20.0
431,440,16.0
386,365,19.0
483,63,15.5
309,474,19.5
129,66,17.5
102,476,19.5
90,78,14.5
304,385,18.0
372,205,16.0
20,103,18.5
19,385,19.0
16,28,16.5
183,143,16.5
333,343,18.5
18,456,17.5
16,325,16.0
438,257,15.0
19,195,16.5
172,359,17.0
323,115,17.5
482,18,17.5
85,127,16.5
262,16,16.0
231,17,14.0
482,440,17.5
337,153,16.5
317,14,13.5
59,266,16.5
313,267,15.5
417,17,17.0
76,16,16.0
