attempts,count
0,120
1,62
2,29
3,20
4,17
5,13
6,13
7,8
8,1
9,4
10,9
11,7
12,5
13,3
14,3
15,4
16,2
17,4
18,4
19,6
20,3
21,1
22,2
23,3
24,5
25,3
26,1
27,2
28,4
29,2
30,4
31,3
33,2
35,1
36,1
37,1
38,1
40,2
41,2
43,3
44,2
45,1
47,1
48,2
49,1
51,1
53,2
55,3
56,1
57,1
58,2
60,2
61,1
65,1
66,1
68,1
71,1
72,2
73,1
79,1
80,1
82,2
84,1
88,1
89,1
90,1
91,1
92,2
93,2
95,1
97,1
101,1
102,1
104,1
105,1
106,2
112,1
117,2
121,1
129,1
130,1
131,1
136,2
139,1
149,2
151,1
155,1
156,1
160,1
162,1
163,1
164,2
178,1
188,1
214,1
217,1
224,1
225,2
233,1
238,2
240,1
245,1
246,1
249,1
255,1
256,1
264,1
270,1
275,1
280,1
284,1
286,1
292,1
294,1
299,1
302,1
303,1
317,1
319,1
325,1
330,1
332,1
338,1
348,2
386,1
388,1
395,1
403,1
405,1
425,1
438,1
450,1
466,2
476,1
496,1
524,1
541,1
545,1
550,1
562,1
591,1
620,1
639,1
644,1
661,1
669,1
709,1
714,1
715,1
731,1
746,1
748,1
758,1
772,1
807,1
820,1
832,1
893,1
899,1
922,1
931,1
940,1
945,1
987,1
1000,1
1065,1
1211,1
1249,1
1250,1
1266,1
1328,1
1341,1
1354,1
1418,1
1435,1
1452,1
1501,1
1539,1
1564,1
1675,1
1699,1
1949,1
2071,1
2132,1
2145,1
2219,1
2253,1
2255,1
2348,1
2464,1
2505,1
2561,1
2639,1
2759,1
2898,1
2926,1
2928,1
3038,1
3054,1
3070,1
3124,1
3233,1
3304,1
3337,1
3423,1
3435,1
3622,1
3838,1
3941,1
3956,1
3984,1
4072,1
4075,1
4265,1
4795,1
5048,1
5261,1
5432,1
5850,1
6575,1
6594,1
6696,1
6954,1
7357,1
7507,1
7964,1
8763,1
9309,1
9364,1
9714,1
9987,1
11830,1
11853,1
12150,1
12209,1
13322,1
13382,1
13513,1
13741,1
14642,1
14975,1
15709,1
16075,1
16311,1
17381,1
19112,1
19129,1
19194,1
19395,1
21035,1
21047,1
24553,1
26568,1
28546,1
28675,1
29559,1
33274,1
38550,1
40506,1
40961,1
41612,1
43987,1
47846,1
59524,1
60075,1
60897,1
65835,1
67868,1
70431,1
77103,1
79206,1
127416,1
128043,1
135882,1
146462,1
146597,1
181312,1
199296,1
201432,1
260415,1
303369,1
308927,1
324402,1
343354,1
350093,1
482827,1
516002,1
568419,1
599183,1
611759,1
684377,1
